0.916	3.055	0	0	-0.01	0.14
0.625	3.080	0	1	0.06	0.67
0.322	3.132	1	0	5.70	-0.18
0.333	3.065	1	1	3.81	6.00
0.272	3.093	0	0	0.06	0.24
0.473	3.078	0	1	-0.01	3.85
0.731	3.110	1	1	2.90	0.90
0.241	3.094	1	1	3.52	1.04
0.431	3.112	1	1	2.86	5.21
0.539	3.009	1	0	1.81	-0.05
0.324	3.117	0	1	-0.02	8.85
0.435	3.104	0	0	0.10	0.20
0.924	3.100	1	0	5.47	-0.09
0.840	3.097	1	1	8.42	7.47
0.635	3.102	1	0	30.21	-0.02
0.712	3.112	1	1	14.70	1.63
0.283	3.096	1	0	16.41	0.16
0.918	3.103	0	0	-0.01	0.06
0.321	3.090	1	0	8.23	0.05
0.685	3.040	1	0	28.27	0.01
0.335	3.151	0	0	-0.10	-0.01
0.556	3.080	0	1	0.05	10.05
0.291	3.077	0	0	-0.02	0.09
0.491	3.094	0	1	0.09	1.95
0.772	3.078	0	0	0.06	-0.06
0.212	3.082	1	1	1.01	0.80
0.731	3.084	1	0	10.16	0.08
0.440	3.035	0	0	-0.13	-0.21
0.395	3.106	0	0	0.06	-0.01
0.559	3.007	0	0	0.07	0.01
0.447	3.188	0	0	0.10	-0.37
0.716	3.082	0	1	0.02	1.90
0.937	3.112	0	1	0.03	36.31
0.210	3.115	1	1	2.19	30.75
0.473	3.068	0	1	-0.12	12.93
0.295	3.092	1	1	2.90	0.66
0.819	3.114	1	0	1.35	0.36
0.397	3.142	0	1	-0.12	3.17
0.215	3.108	0	1	0.03	6.85
0.325	3.060	1	0	3.92	0.18
0.461	3.067	1	0	1.83	-0.18
0.296	3.120	0	1	-0.06	5.22
0.289	3.108	1	0	0.78	-0.12
0.212	3.012	0	0	-0.09	0.02
0.215	3.001	1	0	1.12	-0.12
0.436	3.105	0	1	0.02	1.40
0.503	3.014	0	0	0.17	0.06
0.304	3.084	0	0	0.13	0.04
0.263	3.063	1	0	1.08	-0.04
0.228	3.098	0	1	0.17	1.84
0.322	3.019	0	1	0.02	11.31
0.653	3.142	1	0	1.57	0.01
0.340	3.120	1	1	4.38	0.80
0.552	3.075	0	1	0.20	1.46
0.550	3.109	1	0	33.20	-0.17
0.862	3.113	0	1	-0.10	21.75
0.926	3.112	0	1	-0.06	10.27
0.503	3.095	0	0	-0.10	0.08
0.502	3.124	1	0	4.31	-0.09
0.255	3.137	1	0	19.57	0.39
0.546	3.092	1	1	4.46	1.12
0.236	3.105	0	0	-0.02	0.19
0.322	3.095	0	1	-0.14	4.40
0.494	3.088	0	1	0.13	21.81
0.475	3.029	0	1	0.13	4.92
