absolute errors vs iterations and |t| bins:
it/bin	1 	2 	3 	4 	5 
1	0	0	0	0	0
2	0	0	0	0	0
3	0	0	0	0	0
4	0	0	0	0	0
5	0	0	0	0	0
6	0	0	0	0	0

relative diff in consequent iterations:
it/bin	1 	2 	3 	4 	5 
1-2	14.49	42.86	0.00	0.00	5.88
2-3	2.53	25.00	7.69	7.14	0.00
3-4	1.23	16.67	0.00	0.00	0.00
4-5	0.00	20.00	0.00	0.00	0.00
5-6	0.00	0.00	0.00	0.00	0.00
