pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	41260	1.078
0.005	0.010	112742	121420	1.077
0.010	0.015	184078	197857	1.075
0.015	0.020	247885	265473	1.071
0.020	0.025	303751	323771	1.066
0.025	0.030	349167	370831	1.062
0.030	0.035	383794	405582	1.057
0.035	0.040	407357	428126	1.051
0.040	0.045	418556	434548	1.038
0.045	0.050	419397	432616	1.032
0.050	0.055	408931	417497	1.021
0.055	0.060	389274	392935	1.009
0.060	0.065	362803	361157	0.995
0.065	0.070	331053	324607	0.981
0.070	0.075	294589	282954	0.961
0.075	0.080	255199	240933	0.944
0.080	0.085	217537	201974	0.928
0.085	0.090	181372	162718	0.897
0.090	0.095	146411	129230	0.883
0.095	0.100	115842	98130	0.847
0.100	0.105	88473	73002	0.825
0.105	0.110	65728	51833	0.789
0.110	0.115	47496	35996	0.758
0.115	0.120	33104	24768	0.748
0.120	0.125	23008	16566	0.720
0.125	0.130	15682	12034	0.767
0.130	0.135	11472	9361	0.816
0.135	0.140	9003	8605	0.956
0.140	0.145	8068	9008	1.117
0.145	0.150	8269	9591	1.160
0.150	0.155	8947	10535	1.177
0.155	0.160	9488	11122	1.172
0.160	0.165	10263	11271	1.098
0.165	0.170	10285	10981	1.068
0.170	0.175	10452	10340	0.989
0.175	0.180	9872	9331	0.945
0.180	0.185	9104	8074	0.887
0.185	0.190	7970	6739	0.846
0.190	0.195	6926	5287	0.763
0.195	0.200	5554	3951	0.711
0.200	0.205	4379	2773	0.633
0.205	0.210	3236	1905	0.589
0.210	0.215	2282	1277	0.560
0.215	0.220	1572	823	0.524
0.220	0.225	1077	684	0.635
0.225	0.230	693	647	0.934
0.230	0.235	601	770	1.281
0.235	0.240	606	978	1.614
0.240	0.245	710	1153	1.624
0.245	0.250	884	1341	1.517
0.250	0.255	1045	1452	1.389
0.255	0.260	1186	1471	1.240
0.260	0.265	1325	1412	1.066
0.265	0.270	1317	1431	1.087
0.270	0.275	1293	1233	0.954
0.275	0.280	1267	1075	0.848
0.280	0.285	1161	860	0.741
0.285	0.290	1023	668	0.653
0.290	0.295	852	472	0.554
0.295	0.300	633	338	0.534
0.300	0.305	483	201	0.416
0.305	0.310	364	138	0.379
0.310	0.315	217	103	0.475
0.315	0.320	147	100	0.680
0.320	0.325	105	154	1.467
0.325	0.330	101	182	1.802
0.330	0.335	86	243	2.826
0.335	0.340	155	272	1.755
0.340	0.345	175	287	1.640
0.345	0.350	223	317	1.422
0.350	0.355	247	322	1.304
0.355	0.360	249	304	1.221
0.360	0.365	264	315	1.193
0.365	0.370	290	230	0.793
0.370	0.375	257	177	0.689
0.375	0.380	275	164	0.596
0.380	0.385	200	114	0.570
0.385	0.390	165	65	0.394
0.390	0.395	153	52	0.340
0.395	0.400	99	23	0.232
