pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	51247	1.339
0.005	0.010	112742	151188	1.341
0.010	0.015	184078	244809	1.330
0.015	0.020	247885	324935	1.311
0.020	0.025	303751	392602	1.293
0.025	0.030	349167	442563	1.267
0.030	0.035	383794	473950	1.235
0.035	0.040	407357	486543	1.194
0.040	0.045	418556	483885	1.156
0.045	0.050	419397	464083	1.107
0.050	0.055	408931	431631	1.056
0.055	0.060	389274	388529	0.998
0.060	0.065	362803	339588	0.936
0.065	0.070	331053	286253	0.865
0.070	0.075	294589	236381	0.802
0.075	0.080	255199	187032	0.733
0.080	0.085	217537	143636	0.660
0.085	0.090	181372	106047	0.585
0.090	0.095	146411	74611	0.510
0.095	0.100	115842	50414	0.435
0.100	0.105	88473	33273	0.376
0.105	0.110	65728	21601	0.329
0.110	0.115	47496	14826	0.312
0.115	0.120	33104	11379	0.344
0.120	0.125	23008	10570	0.459
0.125	0.130	15682	11293	0.720
0.130	0.135	11472	12165	1.060
0.135	0.140	9003	13359	1.484
0.140	0.145	8068	13809	1.712
0.145	0.150	8269	13860	1.676
0.150	0.155	8947	12942	1.447
0.155	0.160	9488	11542	1.216
0.160	0.165	10263	9717	0.947
0.165	0.170	10285	7800	0.758
0.170	0.175	10452	5910	0.565
0.175	0.180	9872	4067	0.412
0.180	0.185	9104	2718	0.299
0.185	0.190	7970	1735	0.218
0.190	0.195	6926	1122	0.162
0.195	0.200	5554	896	0.161
0.200	0.205	4379	930	0.212
0.205	0.210	3236	1160	0.358
0.210	0.215	2282	1409	0.617
0.215	0.220	1572	1714	1.090
0.220	0.225	1077	1983	1.841
0.225	0.230	693	2045	2.951
0.230	0.235	601	1995	3.319
0.235	0.240	606	1903	3.140
0.240	0.245	710	1674	2.358
0.245	0.250	884	1357	1.535
0.250	0.255	1045	1034	0.989
0.255	0.260	1186	729	0.615
0.260	0.265	1325	499	0.377
0.265	0.270	1317	304	0.231
0.270	0.275	1293	197	0.152
0.275	0.280	1267	176	0.139
0.280	0.285	1161	183	0.158
0.285	0.290	1023	252	0.246
0.290	0.295	852	325	0.381
0.295	0.300	633	359	0.567
0.300	0.305	483	418	0.865
0.305	0.310	364	447	1.228
0.310	0.315	217	476	2.194
0.315	0.320	147	458	3.116
0.320	0.325	105	383	3.648
0.325	0.330	101	316	3.129
0.330	0.335	86	259	3.012
0.335	0.340	155	182	1.174
0.340	0.345	175	120	0.686
0.345	0.350	223	88	0.395
0.350	0.355	247	46	0.186
0.355	0.360	249	47	0.189
0.360	0.365	264	57	0.216
0.365	0.370	290	63	0.217
0.370	0.375	257	82	0.319
0.375	0.380	275	122	0.444
0.380	0.385	200	121	0.605
0.385	0.390	165	128	0.776
0.390	0.395	153	136	0.889
0.395	0.400	99	134	1.354
