pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	37942	0.992
0.005	0.010	112742	112061	0.994
0.010	0.015	184078	182736	0.993
0.015	0.020	247885	246322	0.994
0.020	0.025	303751	301999	0.994
0.025	0.030	349167	347557	0.995
0.030	0.035	383794	381750	0.995
0.035	0.040	407357	405686	0.996
0.040	0.045	418556	417318	0.997
0.045	0.050	419397	417702	0.996
0.050	0.055	408931	408323	0.999
0.055	0.060	389274	388755	0.999
0.060	0.065	362803	363140	1.001
0.065	0.070	331053	331772	1.002
0.070	0.075	294589	295063	1.002
0.075	0.080	255199	256573	1.005
0.080	0.085	217537	218837	1.006
0.085	0.090	181372	182419	1.006
0.090	0.095	146411	148174	1.012
0.095	0.100	115842	117464	1.014
0.100	0.105	88473	89809	1.015
0.105	0.110	65728	66999	1.019
0.110	0.115	47496	48591	1.023
0.115	0.120	33104	34035	1.028
0.120	0.125	23008	23632	1.027
0.125	0.130	15682	16085	1.026
0.130	0.135	11472	11810	1.029
0.135	0.140	9003	9154	1.017
0.140	0.145	8068	8022	0.994
0.145	0.150	8269	8185	0.990
0.150	0.155	8947	8777	0.981
0.155	0.160	9488	9296	0.980
0.160	0.165	10263	10173	0.991
0.165	0.170	10285	10207	0.992
0.170	0.175	10452	10365	0.992
0.175	0.180	9872	9892	1.002
0.180	0.185	9104	9201	1.011
0.185	0.190	7970	8076	1.013
0.190	0.195	6926	7037	1.016
0.195	0.200	5554	5709	1.028
0.200	0.205	4379	4507	1.029
0.205	0.210	3236	3369	1.041
0.210	0.215	2282	2382	1.044
0.215	0.220	1572	1691	1.076
0.220	0.225	1077	1125	1.045
0.225	0.230	693	729	1.052
0.230	0.235	601	603	1.003
0.235	0.240	606	606	1.000
0.240	0.245	710	644	0.907
0.245	0.250	884	841	0.951
0.250	0.255	1045	1013	0.969
0.255	0.260	1186	1150	0.970
0.260	0.265	1325	1308	0.987
0.265	0.270	1317	1313	0.997
0.270	0.275	1293	1277	0.988
0.275	0.280	1267	1254	0.990
0.280	0.285	1161	1180	1.016
0.285	0.290	1023	1047	1.023
0.290	0.295	852	877	1.029
0.295	0.300	633	683	1.079
0.300	0.305	483	482	0.998
0.305	0.310	364	390	1.071
0.310	0.315	217	258	1.189
0.315	0.320	147	157	1.068
0.320	0.325	105	114	1.086
0.325	0.330	101	94	0.931
0.330	0.335	86	82	0.953
0.335	0.340	155	140	0.903
0.340	0.345	175	162	0.926
0.345	0.350	223	216	0.969
0.350	0.355	247	243	0.984
0.355	0.360	249	244	0.980
0.360	0.365	264	255	0.966
0.365	0.370	290	280	0.966
0.370	0.375	257	254	0.988
0.375	0.380	275	280	1.018
0.380	0.385	200	212	1.060
0.385	0.390	165	181	1.097
0.390	0.395	153	142	0.928
0.395	0.400	99	123	1.242
