pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	42315	1.106
0.005	0.010	112742	124445	1.104
0.010	0.015	184078	202831	1.102
0.015	0.020	247885	271920	1.097
0.020	0.025	303751	331443	1.091
0.025	0.030	349167	378704	1.085
0.030	0.035	383794	412997	1.076
0.035	0.040	407357	434987	1.068
0.040	0.045	418556	441227	1.054
0.045	0.050	419397	436804	1.042
0.050	0.055	408931	420167	1.027
0.055	0.060	389274	393811	1.012
0.060	0.065	362803	360136	0.993
0.065	0.070	331053	321171	0.970
0.070	0.075	294589	278333	0.945
0.075	0.080	255199	235596	0.923
0.080	0.085	217537	195609	0.899
0.085	0.090	181372	156542	0.863
0.090	0.095	146411	122424	0.836
0.095	0.100	115842	92665	0.800
0.100	0.105	88473	66938	0.757
0.105	0.110	65728	47610	0.724
0.110	0.115	47496	32383	0.682
0.115	0.120	33104	22044	0.666
0.120	0.125	23008	15212	0.661
0.125	0.130	15682	11035	0.704
0.130	0.135	11472	9085	0.792
0.135	0.140	9003	8890	0.987
0.140	0.145	8068	9488	1.176
0.145	0.150	8269	10098	1.221
0.150	0.155	8947	11250	1.257
0.155	0.160	9488	11412	1.203
0.160	0.165	10263	11627	1.133
0.165	0.170	10285	10970	1.067
0.170	0.175	10452	10191	0.975
0.175	0.180	9872	8948	0.906
0.180	0.185	9104	7590	0.834
0.185	0.190	7970	6054	0.760
0.190	0.195	6926	4682	0.676
0.195	0.200	5554	3346	0.602
0.200	0.205	4379	2344	0.535
0.205	0.210	3236	1564	0.483
0.210	0.215	2282	1007	0.441
0.215	0.220	1572	726	0.462
0.220	0.225	1077	681	0.632
0.225	0.230	693	743	1.072
0.230	0.235	601	931	1.549
0.235	0.240	606	1127	1.860
0.240	0.245	710	1312	1.848
0.245	0.250	884	1504	1.701
0.250	0.255	1045	1545	1.478
0.255	0.260	1186	1483	1.250
0.260	0.265	1325	1496	1.129
0.265	0.270	1317	1355	1.029
0.270	0.275	1293	1141	0.882
0.275	0.280	1267	940	0.742
0.280	0.285	1161	752	0.648
0.285	0.290	1023	512	0.500
0.290	0.295	852	364	0.427
0.295	0.300	633	229	0.362
0.300	0.305	483	157	0.325
0.305	0.310	364	113	0.310
0.310	0.315	217	103	0.475
0.315	0.320	147	152	1.034
0.320	0.325	105	184	1.752
0.325	0.330	101	255	2.525
0.330	0.335	86	284	3.302
0.335	0.340	155	300	1.935
0.340	0.345	175	333	1.903
0.345	0.350	223	337	1.511
0.350	0.355	247	329	1.332
0.355	0.360	249	330	1.325
0.360	0.365	264	237	0.898
0.365	0.370	290	180	0.621
0.370	0.375	257	173	0.673
0.375	0.380	275	112	0.407
0.380	0.385	200	66	0.330
0.385	0.390	165	54	0.327
0.390	0.395	153	27	0.176
0.395	0.400	99	30	0.303
