pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	39085	1.021
0.005	0.010	112742	115042	1.020
0.010	0.015	184078	187795	1.020
0.015	0.020	247885	252645	1.019
0.020	0.025	303751	309410	1.019
0.025	0.030	349167	355054	1.017
0.030	0.035	383794	390018	1.016
0.035	0.040	407357	412827	1.013
0.040	0.045	418556	423145	1.011
0.045	0.050	419397	422830	1.008
0.050	0.055	408931	411968	1.007
0.055	0.060	389274	390436	1.003
0.060	0.065	362803	362702	1.000
0.065	0.070	331053	329223	0.994
0.070	0.075	294589	291752	0.990
0.075	0.080	255199	251205	0.984
0.080	0.085	217537	213331	0.981
0.085	0.090	181372	176167	0.971
0.090	0.095	146411	141963	0.970
0.095	0.100	115842	110683	0.955
0.100	0.105	88473	84295	0.953
0.105	0.110	65728	61881	0.941
0.110	0.115	47496	44073	0.928
0.115	0.120	33104	30602	0.924
0.120	0.125	23008	20920	0.909
0.125	0.130	15682	14500	0.925
0.130	0.135	11472	10685	0.931
0.135	0.140	9003	8715	0.968
0.140	0.145	8068	8294	1.028
0.145	0.150	8269	8590	1.039
0.150	0.155	8947	9322	1.042
0.155	0.160	9488	10056	1.060
0.160	0.165	10263	10471	1.020
0.165	0.170	10285	10694	1.040
0.170	0.175	10452	10399	0.995
0.175	0.180	9872	9817	0.994
0.180	0.185	9104	8851	0.972
0.185	0.190	7970	7663	0.961
0.190	0.195	6926	6528	0.943
0.195	0.200	5554	5129	0.923
0.200	0.205	4379	3947	0.901
0.205	0.210	3236	2793	0.863
0.210	0.215	2282	1964	0.861
0.215	0.220	1572	1342	0.854
0.220	0.225	1077	879	0.816
0.225	0.230	693	634	0.915
0.230	0.235	601	628	1.045
0.235	0.240	606	646	1.066
0.240	0.245	710	832	1.172
0.245	0.250	884	1013	1.146
0.250	0.255	1045	1138	1.089
0.255	0.260	1186	1343	1.132
0.260	0.265	1325	1373	1.036
0.265	0.270	1317	1334	1.013
0.270	0.275	1293	1312	1.015
0.275	0.280	1267	1257	0.992
0.280	0.285	1161	1095	0.943
0.285	0.290	1023	925	0.904
0.290	0.295	852	737	0.865
0.295	0.300	633	543	0.858
0.300	0.305	483	422	0.874
0.305	0.310	364	277	0.761
0.310	0.315	217	165	0.760
0.315	0.320	147	120	0.816
0.320	0.325	105	92	0.876
0.325	0.330	101	84	0.832
0.330	0.335	86	152	1.767
0.335	0.340	155	172	1.110
0.340	0.345	175	221	1.263
0.345	0.350	223	250	1.121
0.350	0.355	247	261	1.057
0.355	0.360	249	271	1.088
0.360	0.365	264	303	1.148
0.365	0.370	290	266	0.917
0.370	0.375	257	289	1.125
0.375	0.380	275	226	0.822
0.380	0.385	200	167	0.835
0.385	0.390	165	160	0.970
0.390	0.395	153	109	0.712
0.395	0.400	99	73	0.737
