pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	46567	1.217
0.005	0.010	112742	137527	1.220
0.010	0.015	184078	223504	1.214
0.015	0.020	247885	297849	1.202
0.020	0.025	303751	361563	1.190
0.025	0.030	349167	410304	1.175
0.030	0.035	383794	445112	1.160
0.035	0.040	407357	460825	1.131
0.040	0.045	418556	464228	1.109
0.045	0.050	419397	451923	1.078
0.050	0.055	408931	428447	1.048
0.055	0.060	389274	393253	1.010
0.060	0.065	362803	352261	0.971
0.065	0.070	331053	306067	0.925
0.070	0.075	294589	258151	0.876
0.075	0.080	255199	213162	0.835
0.080	0.085	217537	169049	0.777
0.085	0.090	181372	130918	0.722
0.090	0.095	146411	97739	0.668
0.095	0.100	115842	69701	0.602
0.100	0.105	88473	47952	0.542
0.105	0.110	65728	32234	0.490
0.110	0.115	47496	21319	0.449
0.115	0.120	33104	14800	0.447
0.120	0.125	23008	10988	0.478
0.125	0.130	15682	9664	0.616
0.130	0.135	11472	10061	0.877
0.135	0.140	9003	10819	1.202
0.140	0.145	8068	11847	1.468
0.145	0.150	8269	12495	1.511
0.150	0.155	8947	12738	1.424
0.155	0.160	9488	12440	1.311
0.160	0.165	10263	11481	1.119
0.165	0.170	10285	10031	0.975
0.170	0.175	10452	8410	0.805
0.175	0.180	9872	6722	0.681
0.180	0.185	9104	5089	0.559
0.185	0.190	7970	3601	0.452
0.190	0.195	6926	2385	0.344
0.195	0.200	5554	1563	0.281
0.200	0.205	4379	1003	0.229
0.205	0.210	3236	792	0.245
0.210	0.215	2282	773	0.339
0.215	0.220	1572	989	0.629
0.220	0.225	1077	1203	1.117
0.225	0.230	693	1418	2.046
0.230	0.235	601	1702	2.832
0.235	0.240	606	1750	2.888
0.240	0.245	710	1786	2.515
0.245	0.250	884	1740	1.968
0.250	0.255	1045	1614	1.544
0.255	0.260	1186	1324	1.116
0.260	0.265	1325	1094	0.826
0.265	0.270	1317	837	0.636
0.270	0.275	1293	587	0.454
0.275	0.280	1267	393	0.310
0.280	0.285	1161	246	0.212
0.285	0.290	1023	172	0.168
0.290	0.295	852	134	0.157
0.295	0.300	633	140	0.221
0.300	0.305	483	206	0.427
0.305	0.310	364	255	0.701
0.310	0.315	217	327	1.507
0.315	0.320	147	342	2.327
0.320	0.325	105	367	3.495
0.325	0.330	101	387	3.832
0.330	0.335	86	398	4.628
0.335	0.340	155	394	2.542
0.340	0.345	175	284	1.623
0.345	0.350	223	235	1.054
0.350	0.355	247	203	0.822
0.355	0.360	249	144	0.578
0.360	0.365	264	89	0.337
0.365	0.370	290	59	0.203
0.370	0.375	257	40	0.156
0.375	0.380	275	33	0.120
0.380	0.385	200	46	0.230
0.385	0.390	165	49	0.297
0.390	0.395	153	61	0.399
0.395	0.400	99	115	1.162
