pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	45468	1.188
0.005	0.010	112742	134163	1.190
0.010	0.015	184078	218500	1.187
0.015	0.020	247885	291122	1.174
0.020	0.025	303751	354179	1.166
0.025	0.030	349167	402120	1.152
0.030	0.035	383794	437517	1.140
0.035	0.040	407357	454250	1.115
0.040	0.045	418556	458511	1.095
0.045	0.050	419397	449033	1.071
0.050	0.055	408931	426202	1.042
0.055	0.060	389274	393490	1.011
0.060	0.065	362803	355002	0.978
0.065	0.070	331053	310533	0.938
0.070	0.075	294589	263191	0.893
0.075	0.080	255199	219448	0.860
0.080	0.085	217537	175499	0.807
0.085	0.090	181372	137465	0.758
0.090	0.095	146411	103455	0.707
0.095	0.100	115842	75113	0.648
0.100	0.105	88473	52533	0.594
0.105	0.110	65728	35610	0.542
0.110	0.115	47496	23775	0.501
0.115	0.120	33104	16102	0.486
0.120	0.125	23008	11675	0.507
0.125	0.130	15682	9629	0.614
0.130	0.135	11472	9622	0.839
0.135	0.140	9003	10342	1.149
0.140	0.145	8068	11093	1.375
0.145	0.150	8269	12068	1.459
0.150	0.155	8947	12410	1.387
0.155	0.160	9488	12334	1.300
0.160	0.165	10263	11575	1.128
0.165	0.170	10285	10561	1.027
0.170	0.175	10452	8901	0.852
0.175	0.180	9872	7419	0.752
0.180	0.185	9104	5755	0.632
0.185	0.190	7970	4160	0.522
0.190	0.195	6926	2935	0.424
0.195	0.200	5554	1908	0.344
0.200	0.205	4379	1237	0.282
0.205	0.210	3236	839	0.259
0.210	0.215	2282	749	0.328
0.215	0.220	1572	805	0.512
0.220	0.225	1077	1047	0.972
0.225	0.230	693	1222	1.763
0.230	0.235	601	1455	2.421
0.235	0.240	606	1671	2.757
0.240	0.245	710	1745	2.458
0.245	0.250	884	1664	1.882
0.250	0.255	1045	1679	1.607
0.255	0.260	1186	1477	1.245
0.260	0.265	1325	1208	0.912
0.265	0.270	1317	1000	0.759
0.270	0.275	1293	709	0.548
0.275	0.280	1267	526	0.415
0.280	0.285	1161	352	0.303
0.285	0.290	1023	210	0.205
0.290	0.295	852	142	0.167
0.295	0.300	633	133	0.210
0.300	0.305	483	140	0.290
0.305	0.310	364	213	0.585
0.310	0.315	217	257	1.184
0.315	0.320	147	322	2.190
0.320	0.325	105	323	3.076
0.325	0.330	101	364	3.604
0.330	0.335	86	382	4.442
0.335	0.340	155	370	2.387
0.340	0.345	175	372	2.126
0.345	0.350	223	267	1.197
0.350	0.355	247	218	0.883
0.355	0.360	249	195	0.783
0.360	0.365	264	134	0.508
0.365	0.370	290	83	0.286
0.370	0.375	257	58	0.226
0.375	0.380	275	38	0.138
0.380	0.385	200	31	0.155
0.385	0.390	165	43	0.261
0.390	0.395	153	45	0.294
0.395	0.400	99	60	0.606
