pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	45994	1.202
0.005	0.010	112742	135923	1.206
0.010	0.015	184078	220998	1.201
0.015	0.020	247885	294701	1.189
0.020	0.025	303751	357696	1.178
0.025	0.030	349167	406066	1.163
0.030	0.035	383794	441579	1.151
0.035	0.040	407357	457294	1.123
0.040	0.045	418556	461558	1.103
0.045	0.050	419397	450320	1.074
0.050	0.055	408931	427209	1.045
0.055	0.060	389274	393752	1.012
0.060	0.065	362803	353551	0.974
0.065	0.070	331053	308113	0.931
0.070	0.075	294589	260692	0.885
0.075	0.080	255199	216386	0.848
0.080	0.085	217537	172122	0.791
0.085	0.090	181372	134404	0.741
0.090	0.095	146411	100676	0.688
0.095	0.100	115842	72196	0.623
0.100	0.105	88473	50457	0.570
0.105	0.110	65728	33705	0.513
0.110	0.115	47496	22601	0.476
0.115	0.120	33104	15436	0.466
0.120	0.125	23008	11315	0.492
0.125	0.130	15682	9565	0.610
0.130	0.135	11472	9860	0.859
0.135	0.140	9003	10560	1.173
0.140	0.145	8068	11495	1.425
0.145	0.150	8269	12290	1.486
0.150	0.155	8947	12652	1.414
0.155	0.160	9488	12262	1.292
0.160	0.165	10263	11543	1.125
0.165	0.170	10285	10327	1.004
0.170	0.175	10452	8682	0.831
0.175	0.180	9872	7048	0.714
0.180	0.185	9104	5420	0.595
0.185	0.190	7970	3860	0.484
0.190	0.195	6926	2672	0.386
0.195	0.200	5554	1739	0.313
0.200	0.205	4379	1103	0.252
0.205	0.210	3236	805	0.249
0.210	0.215	2282	756	0.331
0.215	0.220	1572	865	0.550
0.220	0.225	1077	1134	1.053
0.225	0.230	693	1359	1.961
0.230	0.235	601	1595	2.654
0.235	0.240	606	1693	2.794
0.240	0.245	710	1786	2.515
0.245	0.250	884	1710	1.934
0.250	0.255	1045	1633	1.563
0.255	0.260	1186	1426	1.202
0.260	0.265	1325	1160	0.875
0.265	0.270	1317	881	0.669
0.270	0.275	1293	662	0.512
0.275	0.280	1267	458	0.361
0.280	0.285	1161	291	0.251
0.285	0.290	1023	198	0.194
0.290	0.295	852	135	0.158
0.295	0.300	633	126	0.199
0.300	0.305	483	187	0.387
0.305	0.310	364	220	0.604
0.310	0.315	217	302	1.392
0.315	0.320	147	327	2.224
0.320	0.325	105	341	3.248
0.325	0.330	101	370	3.663
0.330	0.335	86	392	4.558
0.335	0.340	155	394	2.542
0.340	0.345	175	320	1.829
0.345	0.350	223	258	1.157
0.350	0.355	247	224	0.907
0.355	0.360	249	169	0.679
0.360	0.365	264	99	0.375
0.365	0.370	290	87	0.300
0.370	0.375	257	30	0.117
0.375	0.380	275	43	0.156
0.380	0.385	200	37	0.185
0.385	0.390	165	54	0.327
0.390	0.395	153	51	0.333
0.395	0.400	99	86	0.869
