pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38263	47782	1.249
0.005	0.010	112742	140751	1.248
0.010	0.015	184078	228696	1.242
0.015	0.020	247885	304878	1.230
0.020	0.025	303751	369360	1.216
0.025	0.030	349167	418098	1.197
0.030	0.035	383794	452478	1.179
0.035	0.040	407357	467622	1.148
0.040	0.045	418556	469575	1.122
0.045	0.050	419397	454850	1.085
0.050	0.055	408931	430292	1.052
0.055	0.060	389274	392339	1.008
0.060	0.065	362803	349659	0.964
0.065	0.070	331053	301299	0.910
0.070	0.075	294589	252758	0.858
0.075	0.080	255199	206631	0.810
0.080	0.085	217537	162610	0.748
0.085	0.090	181372	124412	0.686
0.090	0.095	146411	91863	0.627
0.095	0.100	115842	64384	0.556
0.100	0.105	88473	43953	0.497
0.105	0.110	65728	29302	0.446
0.110	0.115	47496	19216	0.405
0.115	0.120	33104	13476	0.407
0.120	0.125	23008	10458	0.455
0.125	0.130	15682	9979	0.636
0.130	0.135	11472	10496	0.915
0.135	0.140	9003	11349	1.261
0.140	0.145	8068	12552	1.556
0.145	0.150	8269	12939	1.565
0.150	0.155	8947	13059	1.460
0.155	0.160	9488	12310	1.297
0.160	0.165	10263	11220	1.093
0.165	0.170	10285	9511	0.925
0.170	0.175	10452	7862	0.752
0.175	0.180	9872	6102	0.618
0.180	0.185	9104	4400	0.483
0.185	0.190	7970	3032	0.380
0.190	0.195	6926	1989	0.287
0.195	0.200	5554	1258	0.227
0.200	0.205	4379	909	0.208
0.205	0.210	3236	765	0.236
0.210	0.215	2282	899	0.394
0.215	0.220	1572	1138	0.724
0.220	0.225	1077	1400	1.300
0.225	0.230	693	1642	2.369
0.230	0.235	601	1818	3.025
0.235	0.240	606	1853	3.058
0.240	0.245	710	1789	2.520
0.245	0.250	884	1706	1.930
0.250	0.255	1045	1499	1.434
0.255	0.260	1186	1209	1.019
0.260	0.265	1325	923	0.697
0.265	0.270	1317	664	0.504
0.270	0.275	1293	465	0.360
0.275	0.280	1267	301	0.238
0.280	0.285	1161	191	0.165
0.285	0.290	1023	139	0.136
0.290	0.295	852	153	0.180
0.295	0.300	633	199	0.314
0.300	0.305	483	259	0.536
0.305	0.310	364	334	0.918
0.310	0.315	217	358	1.650
0.315	0.320	147	376	2.558
0.320	0.325	105	400	3.810
0.325	0.330	101	416	4.119
0.330	0.335	86	409	4.756
0.335	0.340	155	311	2.006
0.340	0.345	175	257	1.469
0.345	0.350	223	212	0.951
0.350	0.355	247	156	0.632
0.355	0.360	249	90	0.361
0.360	0.365	264	61	0.231
0.365	0.370	290	43	0.148
0.370	0.375	257	35	0.136
0.375	0.380	275	49	0.178
0.380	0.385	200	52	0.260
0.385	0.390	165	70	0.424
0.390	0.395	153	116	0.758
0.395	0.400	99	105	1.061
