pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	552	571	1.034
0.005	0.010	1782	1767	0.992
0.010	0.015	2951	3008	1.019
0.015	0.020	4136	4130	0.999
0.020	0.025	5482	5442	0.993
0.025	0.030	6514	6438	0.988
0.030	0.035	7634	7749	1.015
0.035	0.040	8949	8945	1.000
0.040	0.045	10031	10025	0.999
0.045	0.050	11400	11233	0.985
0.050	0.055	12474	12495	1.002
0.055	0.060	13463	13472	1.001
0.060	0.065	14863	14778	0.994
0.065	0.070	15884	15765	0.993
0.070	0.075	17066	17018	0.997
0.075	0.080	18375	18224	0.992
0.080	0.085	19359	19456	1.005
0.085	0.090	20418	20380	0.998
0.090	0.095	21479	21455	0.999
0.095	0.100	22550	22669	1.005
0.100	0.105	23530	23564	1.001
0.105	0.110	24731	24750	1.001
0.110	0.115	25466	25578	1.004
0.115	0.120	26495	26543	1.002
0.120	0.125	27518	27665	1.005
0.125	0.130	28821	28778	0.999
0.130	0.135	29325	29635	1.011
0.135	0.140	30731	30451	0.991
0.140	0.145	31425	31516	1.003
0.145	0.150	32471	32631	1.005
0.150	0.155	33098	33105	1.000
0.155	0.160	34217	34232	1.000
0.160	0.165	34747	34771	1.001
0.165	0.170	35811	35974	1.005
0.170	0.175	36253	36394	1.004
0.175	0.180	37360	37244	0.997
0.180	0.185	38150	38391	1.006
0.185	0.190	39334	39365	1.001
0.190	0.195	40042	40174	1.003
0.195	0.200	40699	40738	1.001
0.200	0.205	41099	41055	0.999
0.205	0.210	41745	41623	0.997
0.210	0.215	42893	42836	0.999
0.215	0.220	42936	42805	0.997
0.220	0.225	43494	43922	1.010
0.225	0.230	44042	43886	0.996
0.230	0.235	44362	44374	1.000
0.235	0.240	45177	45300	1.003
0.240	0.245	45957	45750	0.995
0.245	0.250	46648	46559	0.998
0.250	0.255	47059	46937	0.997
0.255	0.260	47445	47519	1.002
0.260	0.265	48072	48150	1.002
0.265	0.270	48135	48235	1.002
0.270	0.275	48557	48523	0.999
0.275	0.280	48653	48796	1.003
0.280	0.285	48956	48936	1.000
0.285	0.290	49525	49616	1.002
0.290	0.295	49578	49720	1.003
0.295	0.300	50243	49977	0.995
0.300	0.305	50097	50469	1.007
0.305	0.310	50661	50684	1.000
0.310	0.315	50142	50242	1.002
0.315	0.320	51036	51168	1.003
0.320	0.325	51300	51346	1.001
0.325	0.330	51470	51488	1.000
0.330	0.335	51396	51529	1.003
0.335	0.340	51405	51095	0.994
0.340	0.345	51381	51384	1.000
0.345	0.350	51393	51700	1.006
0.350	0.355	51512	51587	1.001
0.355	0.360	51027	51474	1.009
0.360	0.365	51852	51477	0.993
0.365	0.370	51464	51363	0.998
0.370	0.375	51560	51522	0.999
0.375	0.380	50980	50829	0.997
0.380	0.385	51020	50840	0.996
0.385	0.390	50749	50699	0.999
0.390	0.395	50646	50672	1.001
0.395	0.400	50412	50199	0.996
0.400	0.405	50294	50507	1.004
0.405	0.410	50528	50718	1.004
0.410	0.415	50068	49935	0.997
0.415	0.420	50107	49949	0.997
0.420	0.425	49663	49685	1.000
0.425	0.430	49186	49316	1.003
0.430	0.435	48887	49054	1.003
0.435	0.440	48829	48881	1.001
0.440	0.445	48425	48369	0.999
0.445	0.450	48034	48143	1.002
0.450	0.455	47994	47917	0.998
0.455	0.460	47733	47530	0.996
0.460	0.465	46668	46850	1.004
0.465	0.470	46410	46350	0.999
0.470	0.475	46226	45997	0.995
0.475	0.480	46037	46004	0.999
0.480	0.485	45334	45533	1.004
0.485	0.490	44939	44821	0.997
0.490	0.495	44544	44377	0.996
0.495	0.500	44013	44150	1.003
0.500	0.505	44112	44148	1.001
0.505	0.510	43290	43521	1.005
0.510	0.515	42995	42829	0.996
0.515	0.520	42764	42902	1.003
0.520	0.525	42139	42144	1.000
0.525	0.530	41659	41788	1.003
0.530	0.535	41204	41068	0.997
0.535	0.540	40648	40742	1.002
0.540	0.545	40101	40223	1.003
0.545	0.550	39807	39783	0.999
0.550	0.555	39420	39281	0.996
0.555	0.560	38593	38364	0.994
0.560	0.565	38171	38408	1.006
0.565	0.570	37673	37516	0.996
0.570	0.575	37362	37297	0.998
0.575	0.580	36855	36521	0.991
0.580	0.585	35794	35876	1.002
0.585	0.590	35203	35330	1.004
0.590	0.595	34949	34891	0.998
0.595	0.600	34448	34735	1.008
0.600	0.605	33960	33901	0.998
0.605	0.610	33380	33317	0.998
0.610	0.615	32804	32992	1.006
0.615	0.620	32558	32777	1.007
0.620	0.625	31843	31651	0.994
0.625	0.630	31346	31089	0.992
0.630	0.635	30647	30568	0.997
0.635	0.640	29930	30179	1.008
0.640	0.645	29453	29659	1.007
0.645	0.650	29042	28987	0.998
0.650	0.655	28464	28500	1.001
0.655	0.660	28099	28028	0.997
0.660	0.665	27408	27337	0.997
0.665	0.670	26750	26727	0.999
0.670	0.675	26375	26341	0.999
0.675	0.680	25874	25983	1.004
0.680	0.685	25642	25582	0.998
0.685	0.690	24931	24883	0.998
0.690	0.695	24313	24357	1.002
0.695	0.700	23953	23926	0.999
0.700	0.705	23393	23326	0.997
0.705	0.710	23078	22902	0.992
0.710	0.715	22513	22470	0.998
0.715	0.720	22396	22241	0.993
0.720	0.725	21340	21372	1.001
0.725	0.730	21011	21073	1.003
0.730	0.735	20800	20658	0.993
0.735	0.740	20032	20211	1.009
0.740	0.745	20037	19668	0.982
0.745	0.750	19409	19269	0.993
0.750	0.755	18587	18861	1.015
0.755	0.760	18670	18537	0.993
