pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	598	614	1.027
0.005	0.010	1939	1976	1.019
0.010	0.015	3184	3153	0.990
0.015	0.020	4426	4468	1.009
0.020	0.025	5860	5815	0.992
0.025	0.030	6966	7004	1.005
0.030	0.035	8349	8366	1.002
0.035	0.040	9590	9646	1.006
0.040	0.045	10728	10699	0.997
0.045	0.050	12075	12068	0.999
0.050	0.055	13425	13443	1.001
0.055	0.060	14531	14292	0.984
0.060	0.065	15776	15925	1.009
0.065	0.070	17052	17116	1.004
0.070	0.075	18229	18315	1.005
0.075	0.080	19548	19477	0.996
0.080	0.085	20987	21066	1.004
0.085	0.090	21892	21799	0.996
0.090	0.095	23136	23018	0.995
0.095	0.100	23951	24051	1.004
0.100	0.105	25359	25368	1.000
0.105	0.110	26373	26451	1.003
0.110	0.115	27376	27159	0.992
0.115	0.120	28371	28648	1.010
0.120	0.125	29764	29695	0.998
0.125	0.130	30660	30614	0.998
0.130	0.135	31416	31612	1.006
0.135	0.140	32740	32735	1.000
0.140	0.145	33828	33813	1.000
0.145	0.150	34519	34492	0.999
0.150	0.155	35484	35664	1.005
0.155	0.160	36530	36422	0.997
0.160	0.165	36997	37086	1.002
0.165	0.170	38107	38341	1.006
0.170	0.175	39153	39079	0.998
0.175	0.180	40047	40050	1.000
0.180	0.185	40966	41039	1.002
0.185	0.190	41980	41702	0.993
0.190	0.195	42451	42363	0.998
0.195	0.200	42375	42599	1.005
0.200	0.205	43917	43721	0.996
0.205	0.210	44450	44403	0.999
0.210	0.215	45060	45211	1.003
0.215	0.220	45430	45386	0.999
0.220	0.225	45728	45943	1.005
0.225	0.230	46838	46663	0.996
0.230	0.235	47333	47567	1.005
0.235	0.240	47996	48063	1.001
0.240	0.245	48407	48424	1.000
0.245	0.250	49111	49126	1.000
0.250	0.255	49723	49888	1.003
0.255	0.260	49988	49827	0.997
0.260	0.265	50371	50330	0.999
0.265	0.270	50558	50733	1.003
0.270	0.275	50955	51215	1.005
0.275	0.280	51477	51434	0.999
0.280	0.285	51427	51349	0.998
0.285	0.290	51976	52120	1.003
0.290	0.295	52250	51962	0.994
0.295	0.300	52262	52376	1.002
0.300	0.305	52327	52226	0.998
0.305	0.310	53335	53202	0.998
0.310	0.315	53012	52987	1.000
0.315	0.320	53244	53054	0.996
0.320	0.325	53262	52712	0.990
0.325	0.330	53452	53665	1.004
0.330	0.335	53416	53200	0.996
0.335	0.340	53244	53460	1.004
0.340	0.345	53410	53342	0.999
0.345	0.350	53328	53597	1.005
0.350	0.355	53320	53443	1.002
0.355	0.360	53366	53348	1.000
0.360	0.365	52776	52804	1.001
0.365	0.370	52671	52572	0.998
0.370	0.375	52591	52979	1.007
0.375	0.380	52759	52737	1.000
0.380	0.385	52029	52508	1.009
0.385	0.390	52177	52372	1.004
0.390	0.395	52325	52356	1.001
0.395	0.400	52185	52310	1.002
0.400	0.405	52016	51930	0.998
0.405	0.410	51426	51467	1.001
0.410	0.415	51089	51092	1.000
0.415	0.420	50894	51079	1.004
0.420	0.425	50410	50474	1.001
0.425	0.430	50420	50188	0.995
0.430	0.435	49658	49446	0.996
0.435	0.440	49644	49594	0.999
0.440	0.445	49070	49245	1.004
0.445	0.450	48817	48592	0.995
0.450	0.455	47689	47662	0.999
0.455	0.460	47796	48063	1.006
0.460	0.465	47607	47469	0.997
0.465	0.470	46923	46908	1.000
0.470	0.475	46243	46256	1.000
0.475	0.480	45772	45888	1.003
0.480	0.485	45825	45624	0.996
0.485	0.490	45321	45336	1.000
0.490	0.495	44590	44950	1.008
0.495	0.500	44242	44285	1.001
0.500	0.505	43958	43877	0.998
0.505	0.510	43338	43286	0.999
0.510	0.515	42829	42834	1.000
0.515	0.520	42464	42250	0.995
0.520	0.525	41812	41707	0.997
0.525	0.530	41202	41041	0.996
0.530	0.535	40787	41006	1.005
0.535	0.540	40055	39904	0.996
0.540	0.545	39565	39413	0.996
0.545	0.550	39026	39057	1.001
0.550	0.555	38616	38443	0.996
0.555	0.560	37906	37743	0.996
0.560	0.565	37176	36928	0.993
0.565	0.570	36448	36495	1.001
0.570	0.575	36261	36066	0.995
0.575	0.580	35770	35835	1.002
0.580	0.585	35041	34768	0.992
0.585	0.590	34342	34597	1.007
0.590	0.595	34029	34075	1.001
0.595	0.600	33631	33676	1.001
0.600	0.605	32583	32509	0.998
0.605	0.610	32198	31953	0.992
0.610	0.615	31385	31323	0.998
0.615	0.620	30872	30971	1.003
0.620	0.625	30167	30229	1.002
0.625	0.630	29855	29691	0.995
0.630	0.635	29223	29220	1.000
0.635	0.640	28487	28436	0.998
0.640	0.645	27961	27993	1.001
0.645	0.650	27413	27668	1.009
0.650	0.655	27001	26854	0.995
0.655	0.660	26642	26595	0.998
0.660	0.665	25887	25722	0.994
0.665	0.670	25341	25429	1.003
0.670	0.675	24739	24864	1.005
0.675	0.680	24145	24200	1.002
0.680	0.685	23900	23866	0.999
0.685	0.690	23178	23403	1.010
0.690	0.695	23012	22980	0.999
0.695	0.700	22285	22216	0.997
0.700	0.705	21747	21685	0.997
0.705	0.710	21134	21267	1.006
0.710	0.715	20699	20776	1.004
0.715	0.720	20469	20342	0.994
0.720	0.725	19893	19936	1.002
0.725	0.730	19481	19554	1.004
0.730	0.735	18875	18742	0.993
0.735	0.740	18511	18281	0.988
0.740	0.745	17821	17879	1.003
0.745	0.750	17463	17503	1.002
0.750	0.755	17244	17145	0.994
0.755	0.760	16760	16666	0.994
0.760	0.765	16231	16324	1.006
0.765	0.770	15601	15734	1.009
0.770	0.775	15412	15290	0.992
0.775	0.780	14678	14777	1.007
0.780	0.785	14735	14457	0.981
0.785	0.790	14128	14206	1.006
0.790	0.795	13936	14006	1.005
0.795	0.800	13426	13312	0.992
0.800	0.805	13109	13104	1.000
0.805	0.810	12589	12728	1.011
0.810	0.815	12469	12529	1.005
0.815	0.820	11845	11804	0.997
0.820	0.825	11606	11594	0.999
0.825	0.830	11234	11372	1.012
0.830	0.835	11047	11015	0.997
0.835	0.840	10495	10671	1.017
0.840	0.845	10386	10329	0.995
0.845	0.850	10123	10193	1.007
0.850	0.855	9869	9762	0.989
0.855	0.860	9470	9383	0.991
0.860	0.865	9082	9115	1.004
0.865	0.870	8981	8914	0.993
0.870	0.875	8582	8504	0.991
0.875	0.880	8242	8283	1.005
0.880	0.885	7972	8010	1.005
0.885	0.890	7711	7727	1.002
0.890	0.895	7526	7469	0.992
0.895	0.900	7173	7290	1.016
0.900	0.905	7086	7161	1.011
0.905	0.910	6857	6819	0.994
0.910	0.915	6533	6667	1.021
0.915	0.920	6349	6342	0.999
0.920	0.925	6255	6104	0.976
0.925	0.930	5969	5984	1.003
0.930	0.935	5677	5616	0.989
0.935	0.940	5628	5690	1.011
0.940	0.945	5478	5344	0.976
0.945	0.950	5191	5218	1.005
0.950	0.955	5018	5055	1.007
0.955	0.960	4870	4910	1.008
0.960	0.965	4616	4601	0.997
0.965	0.970	4518	4413	0.977
0.970	0.975	4342	4341	1.000
0.975	0.980	4242	4202	0.991
0.980	0.985	4110	4050	0.985
0.985	0.990	3866	3903	1.010
0.990	0.995	3640	3705	1.018
0.995	1.000	3540	3518	0.994
1.000	1.005	3453	3468	1.004
1.005	1.010	3315	3287	0.992
1.010	1.015	3157	3187	1.010
1.015	1.020	3083	3031	0.983
1.020	1.025	2983	2916	0.978
1.025	1.030	2911	2875	0.988
1.030	1.035	2822	2799	0.992
1.035	1.040	2562	2642	1.031
1.040	1.045	2566	2497	0.973
1.045	1.050	2366	2422	1.024
1.050	1.055	2350	2375	1.011
1.055	1.060	2254	2247	0.997
1.060	1.065	2204	2174	0.986
1.065	1.070	2024	2005	0.991
1.070	1.075	2036	2012	0.988
1.075	1.080	1862	1903	1.022
1.080	1.085	1829	1820	0.995
1.085	1.090	1785	1774	0.994
1.090	1.095	1583	1580	0.998
1.095	1.100	1670	1608	0.963
1.100	1.105	1539	1571	1.021
1.105	1.110	1423	1429	1.004
1.110	1.115	1430	1425	0.997
1.115	1.120	1343	1385	1.031
1.120	1.125	1261	1282	1.017
1.125	1.130	1246	1251	1.004
1.130	1.135	1189	1195	1.005
1.135	1.140	1144	1147	1.003
1.140	1.145	1067	1062	0.995
1.145	1.150	1040	1015	0.976
1.150	1.155	1009	1007	0.998
1.155	1.160	1000	985	0.985
1.160	1.165	894	914	1.022
1.165	1.170	898	853	0.950
1.170	1.175	874	873	0.999
1.175	1.180	796	820	1.030
1.180	1.185	769	752	0.978
1.185	1.190	716	712	0.994
1.190	1.195	685	688	1.004
1.195	1.200	686	701	1.022
1.200	1.205	612	639	1.044
1.205	1.210	629	606	0.963
1.210	1.215	618	613	0.992
1.215	1.220	506	535	1.057
1.220	1.225	519	512	0.987
1.225	1.230	499	499	1.000
1.230	1.235	436	435	0.998
1.235	1.240	448	466	1.040
1.240	1.245	385	390	1.013
1.245	1.250	370	390	1.054
1.250	1.255	402	395	0.983
1.255	1.260	410	401	0.978
1.260	1.265	327	355	1.086
1.265	1.270	334	326	0.976
1.270	1.275	305	313	1.026
1.275	1.280	316	312	0.987
1.280	1.285	273	280	1.026
1.285	1.290	259	259	1.000
1.290	1.295	262	268	1.023
1.295	1.300	275	276	1.004
1.300	1.305	236	223	0.945
1.305	1.310	238	241	1.013
1.310	1.315	215	194	0.902
1.315	1.320	193	187	0.969
1.320	1.325	191	189	0.990
1.325	1.330	163	166	1.018
1.330	1.335	157	153	0.975
1.335	1.340	157	156	0.994
1.340	1.345	145	137	0.945
1.345	1.350	139	146	1.050
1.350	1.355	162	157	0.969
1.355	1.360	130	138	1.062
1.360	1.365	108	116	1.074
1.365	1.370	116	115	0.991
1.370	1.375	105	100	0.952
1.375	1.380	105	107	1.019
1.380	1.385	102	106	1.039
1.385	1.390	110	104	0.945
1.390	1.395	89	83	0.933
1.395	1.400	81	90	1.111
