pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.005	38186	45751	1.198
0.005	0.010	112279	134183	1.195
0.010	0.015	182943	219140	1.198
0.015	0.020	247109	292541	1.184
0.020	0.025	302217	354581	1.173
0.025	0.030	348344	402669	1.156
0.030	0.035	382228	438028	1.146
0.035	0.040	406094	454617	1.119
0.040	0.045	416812	459884	1.103
0.045	0.050	418772	448460	1.071
0.050	0.055	407654	426241	1.046
0.055	0.060	389339	393658	1.011
0.060	0.065	362726	354126	0.976
0.065	0.070	330851	309640	0.936
0.070	0.075	294935	262424	0.890
0.075	0.080	255424	218149	0.854
0.080	0.085	218645	174793	0.799
0.085	0.090	182427	136868	0.750
0.090	0.095	147285	103090	0.700
0.095	0.100	116610	74393	0.638
0.100	0.105	89800	52341	0.583
0.105	0.110	66463	35530	0.535
0.110	0.115	48462	23921	0.494
0.115	0.120	34113	16451	0.482
0.120	0.125	23824	12049	0.506
0.125	0.130	16437	9987	0.608
0.130	0.135	11985	10119	0.844
0.135	0.140	9383	10544	1.124
0.140	0.145	8359	11372	1.360
0.145	0.150	8504	12322	1.449
0.150	0.155	9011	12480	1.385
0.155	0.160	9513	12295	1.292
0.160	0.165	10252	11479	1.120
0.165	0.170	10230	10342	1.011
0.170	0.175	10439	8702	0.834
0.175	0.180	9859	7278	0.738
0.180	0.185	9043	5533	0.612
0.185	0.190	7905	4033	0.510
0.190	0.195	6920	2728	0.394
0.195	0.200	5582	1849	0.331
0.200	0.205	4394	1194	0.272
0.205	0.210	3263	892	0.273
0.210	0.215	2314	776	0.335
0.215	0.220	1577	871	0.552
0.220	0.225	1092	1090	0.998
0.225	0.230	716	1306	1.824
0.230	0.235	641	1537	2.398
0.235	0.240	643	1689	2.627
0.240	0.245	731	1755	2.401
0.245	0.250	879	1688	1.920
0.250	0.255	1058	1560	1.474
0.255	0.260	1200	1447	1.206
0.260	0.265	1307	1148	0.878
0.265	0.270	1292	976	0.755
0.270	0.275	1287	668	0.519
0.275	0.280	1278	517	0.405
0.280	0.285	1180	304	0.258
0.285	0.290	969	213	0.220
0.290	0.295	851	141	0.166
0.295	0.300	636	136	0.214
0.300	0.305	466	166	0.356
0.305	0.310	383	225	0.587
0.310	0.315	222	302	1.360
0.315	0.320	155	317	2.045
0.320	0.325	108	326	3.019
0.325	0.330	104	377	3.625
0.330	0.335	96	404	4.208
0.335	0.340	159	372	2.340
0.340	0.345	164	326	1.988
0.345	0.350	224	274	1.223
0.350	0.355	248	195	0.786
0.355	0.360	259	182	0.703
0.360	0.365	260	124	0.477
0.365	0.370	286	72	0.252
0.370	0.375	261	51	0.195
0.375	0.380	276	44	0.159
0.380	0.385	211	38	0.180
0.385	0.390	149	42	0.282
0.390	0.395	145	53	0.366
0.395	0.400	101	77	0.762
0.400	0.405	67	95	1.418
0.405	0.410	53	105	1.981
0.410	0.415	27	108	4.000
0.415	0.420	23	112	4.870
0.420	0.425	23	108	4.696
0.425	0.430	27	91	3.370
0.430	0.435	36	76	2.111
0.435	0.440	36	70	1.944
0.440	0.445	65	55	0.846
0.445	0.450	68	35	0.515
0.450	0.455	64	27	0.422
0.455	0.460	70	9	0.129
0.460	0.465	77	17	0.221
0.465	0.470	69	14	0.203
0.470	0.475	63	17	0.270
0.475	0.480	62	22	0.355
0.480	0.485	45	25	0.556
0.485	0.490	53	22	0.415
0.490	0.495	26	38	1.462
0.495	0.500	24	33	1.375
0.500	0.505	20	42	2.100
0.505	0.510	7	45	6.429
0.510	0.515	14	40	2.857
0.515	0.520	7	22	3.143
0.520	0.525	7	20	2.857
0.525	0.530	15	22	1.467
0.530	0.535	13	10	0.769
0.535	0.540	19	11	0.579
0.540	0.545	14	6	0.429
0.545	0.550	26	9	0.346
0.550	0.555	24	4	0.167
0.555	0.560	24	6	0.250
0.560	0.565	28	5	0.179
0.565	0.570	23	4	0.174
0.570	0.575	14	12	0.857
0.575	0.580	15	15	1.000
0.580	0.585	16	10	0.625
0.585	0.590	9	10	1.111
0.590	0.595	10	12	1.200
0.595	0.600	3	13	4.333
