Counts18q (122 runs):
1	295585	2189
2	295586	9502
3	295588	9052
4	295589	20953
5	295610	1301
6	295611	1593
7	295612	28074
8	295615	3877
9	295666	7673
10	295667	4550
11	295668	6771
12	295673	72947
13	295675	34389
14	295676	98078
15	295712	20267
16	295714	35248
17	295717	4535
18	295718	8242
19	295719	7128
20	295721	4195
21	295723	8958
22	295725	19324
23	295754	52311
24	295755	56118
25	295758	110098
26	295759	25508
27	295762	26388
28	295763	107075
29	295786	26532
30	295788	176614
31	295791	68254
32	295816	60981
33	295818	8027
34	295819	152467
35	295822	161708
36	295825	18192
37	295826	204698
38	295829	87903
39	295831	76989
40	295853	12565
41	295854	93206
42	295855	110346
43	295856	107216
44	295859	81187
45	295860	56981
46	295861	73959
47	295909	32610
48	295910	287463
49	295913	159034
50	295936	90026
51	295937	20716
52	295941	100525
53	295942	108858
54	296016	17798
55	296060	16442
56	296062	101746
57	296063	149530
58	296065	139948
59	296066	33662
60	296123	22412
61	296132	117221
62	296133	94475
63	296134	215414
64	296135	113254
65	296142	74488
66	296143	20441
67	296191	258971
68	296192	26501
69	296194	175122
70	296195	41813
71	296196	113893
72	296197	80408
73	296198	28782
74	296240	16130
75	296241	42425
76	296242	49616
77	296243	69675
78	296244	440905
79	296246	80927
80	296247	49227
81	296269	204182
82	296270	79015
83	296273	382072
84	296279	32432
85	296280	66961
86	296303	117187
87	296304	311294
88	296309	91981
89	296312	79849
90	296377	316658
91	296378	303895
92	296379	80585
93	296380	108783
94	296381	58101
95	296383	66031
96	296414	264853
97	296415	159347
98	296419	142964
99	296420	57620
100	296423	55935
101	296424	18556
102	296433	179141
103	296472	33181
104	296509	146001
105	296510	456413
106	296511	128947
107	296512	23754
108	296516	25419
109	296547	55823
110	296548	79351
111	296550	222079
112	296551	87930
113	296552	23111
114	296553	31295
115	296594	16184
116	296615	110009
117	296616	39131
118	296618	167793
119	296619	113017
120	296621	14159
121	296622	52104
122	296623	110675


Counts18r (96 runs):
1	296690	443015
2	296691	39800
3	296693	20552
4	296694	321041
5	296749	528518
6	296750	529488
7	296781	44257
8	296784	166183
9	296785	95264
10	296786	39556
11	296787	306838
12	296790	14770
13	296793	69678
14	296794	151985
15	296799	142114
16	296835	14803
17	296836	160742
18	296838	24618
19	296839	174957
20	296848	117623
21	296849	376151
22	296850	152255
23	296851	28452
24	296852	61811
25	296890	445419
26	296894	290514
27	296899	146643
28	296900	277216
29	296903	59527
30	296930	271102
31	296931	35150
32	296932	98052
33	296934	167077
34	296935	265353
35	296938	184756
36	296941	196932
37	296966	189914
38	297029	343359
39	297031	303400
40	297035	63651
41	297085	59877
42	297117	127570
43	297118	122037
44	297119	249603
45	297123	167237
46	297124	54354
47	297128	189239
48	297129	213587
49	297132	112496
50	297133	41912
51	297193	407096
52	297194	383421
53	297195	19216
54	297196	97214
55	297218	354827
56	297219	494677
57	297221	134594
58	297222	73933
59	297278	30957
60	297310	31045
61	297311	11701
62	297317	178898
63	297332	23536
64	297333	8014
65	297335	31009
66	297336	9715
67	297363	102060
68	297366	100091
69	297367	289584
70	297372	328763
71	297379	371524
72	297380	69142
73	297405	32577
74	297406	20915
75	297413	164452
76	297414	137737
77	297415	380434
78	297441	280094
79	297442	101756
80	297446	407662
81	297450	101853
82	297451	71554
83	297452	52139
84	297479	397656
85	297481	399667
86	297483	109124
87	297512	85843
88	297537	95535
89	297540	24295
90	297541	207657
91	297542	72415
92	297544	378799
93	297558	20356
94	297588	292334
95	297590	188821
96	297595	80398
