absolute errors vs iterations and |t| bins:
it/bin	1 	2 	3 	4 	5 
1	224	294	349	487	631
2	250	340	405	543	686
3	256	355	421	558	694
4	258	359	426	562	696
5	259	361	428	563	696
6	259	361	428	563	696

relative diff in consequent iterations:
it/bin	1 	2 	3 	4 	5 
1-2	1.94	0.55	1.79	4.18	5.57
2-3	0.18	0.24	0.09	0.96	0.57
3-4	0.06	0.05	0.08	0.20	0.09
4-5	0.02	0.01	0.03	0.04	0.02
5-6	0.00	0.00	0.01	0.01	0.00
