     1.59785     3.18686     8.28583   251.62449   654.22363   254.81135   662.50947
     1.62261     2.82413     7.34274   245.52130   638.35534   248.34542   645.69807
     1.64676     2.51013     6.52633   239.74934   623.34824   242.25946   629.87457
     1.67028     2.23793     5.81861   234.29420   609.16489   236.53213   614.98350
     1.69315     2.00163     5.20424   229.14227   595.76987   231.14390   600.97411
     1.71534     1.79621     4.67016   224.28068   583.12975   226.07690   587.79991
     1.73683     1.61738     4.20520   219.69733   571.21302   221.31471   575.41822
     1.75760     1.46148     3.79986   215.38079   559.99002   216.84227   563.78988
     1.77763     1.32539     3.44601   211.32033   549.43283   212.64572   552.87885
     1.79690     1.20643     3.13673   207.50588   539.51527   208.71232   542.65200
     1.81539     1.10234     2.86607   203.92800   530.21277   205.03034   533.07884
     1.83308     1.01114     2.62897   200.57784   521.50235   201.58898   524.13132
     1.84996     0.93119     2.42108   197.44714   513.36255   198.37833   515.78363
     1.86601     0.86103     2.23869   194.52822   505.77335   195.38925   508.01204
     1.88122     0.79946     2.07860   191.81391   498.71614   192.61337   500.79474
     1.89556     0.74542     1.93809   189.29758   492.17367   190.04299   494.11176
     1.90903     0.69800     1.81481   186.97308   486.12998   187.67108   487.94479
     1.92161     0.65644     1.70675   184.83477   480.57037   185.49121   482.27712
     1.93329     0.62007     1.61219   182.87745   475.48134   183.49752   477.09354
     1.94406     0.58833     1.52967   181.09639   470.85059   181.68472   472.38026
     1.95390     0.56074     1.45791   179.48729   466.66693   180.04802   468.12484
     1.96281     0.53687     1.39586   178.04627   462.92027   178.58314   464.31613
     1.97079     0.51638     1.34260   176.76986   459.60162   177.28625   460.94422
     1.97781     0.49899     1.29736   175.65501   456.70301   176.15400   458.00037
     1.98388     0.48443     1.25951   174.69905   454.21750   175.18347   455.47700
     1.98898     0.47250     1.22851   173.89968   452.13914   174.37218   453.36764
     1.99312     0.46305     1.20393   173.25500   450.46297   173.71805   451.66690
     1.99630     0.45594     1.18545   172.76346   449.18498   173.21940   450.37043
     1.99849     0.45108     1.17281   172.42390   448.30211   172.87498   449.47492
     1.99971     0.44840     1.16584   172.23541   447.81205   172.68381   448.97789
