absolute errors vs iterations and |t| bins:
it/bin	1 	2 	3 	4 	5 
1	51	60	55	54	38
2	61	70	64	60	42
3	64	72	66	62	43
4	65	73	67	62	43
5	66	74	67	62	43
6	66	74	68	62	43

relative diff in consequent iterations:
it/bin	1 	2 	3 	4 	5 
1-2	0.39	0.28	0.01	0.15	0.11
2-3	0.13	0.08	0.01	0.02	0.02
3-4	0.04	0.03	0.01	0.00	0.01
4-5	0.01	0.01	0.00	0.00	0.00
5-6	0.01	0.00	0.00	0.00	0.00
