Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	16.984		0.284
2	0.040	0.080	16.863		0.163
3	0.080	0.120	16.761		0.128
4	0.120	0.160	16.848		0.111
5	0.160	0.200	16.782		0.100
6	0.200	0.240	16.706		0.093
7	0.240	0.280	16.823		0.089
8	0.280	0.320	16.736		0.087
9	0.320	0.360	16.841		0.086
10	0.360	0.400	16.852		0.086
11	0.400	0.440	17.082		0.088
12	0.440	0.480	17.097		0.090
13	0.480	0.520	17.166		0.094
14	0.520	0.560	16.997		0.097
15	0.560	0.600	17.083		0.103
16	0.600	0.680	17.314		0.081
17	0.680	0.760	17.277		0.095
18	0.760	0.840	17.290		0.114
19	0.840	0.920	17.475		0.143
20	0.920	1.000	17.346		0.183
21	1.000	1.150	17.520		0.199
22	1.150	1.300	17.794		0.370
23	1.300	1.450	18.463		0.767
24	1.450	1.600	19.054		1.776
