Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	14.332		0.258
2	0.040	0.080	14.216		0.148
3	0.080	0.120	14.110		0.116
4	0.120	0.160	14.107		0.100
5	0.160	0.200	13.879		0.090
6	0.200	0.240	13.702		0.083
7	0.240	0.280	13.512		0.079
8	0.280	0.320	13.208		0.076
9	0.320	0.360	12.958		0.074
10	0.360	0.400	12.680		0.073
11	0.400	0.440	12.505		0.074
12	0.440	0.480	12.222		0.075
13	0.480	0.520	11.794		0.076
14	0.520	0.560	11.315		0.077
15	0.560	0.600	11.096		0.081
16	0.600	0.680	10.639		0.062
17	0.680	0.760	9.786		0.069
18	0.760	0.840	9.168		0.080
19	0.840	0.920	8.576		0.096
20	0.920	1.000	7.809		0.118
21	1.000	1.150	6.984		0.120
22	1.150	1.300	5.800		0.200
23	1.300	1.450	5.348		0.389
24	1.450	1.600	5.424		0.892
