Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	10.322		0.215
2	0.040	0.080	10.574		0.126
3	0.080	0.120	10.380		0.098
4	0.120	0.160	10.389		0.084
5	0.160	0.200	10.082		0.075
6	0.200	0.240	10.121		0.070
7	0.240	0.280	9.853		0.066
8	0.280	0.320	9.694		0.064
9	0.320	0.360	9.564		0.063
10	0.360	0.400	9.295		0.062
11	0.400	0.440	9.167		0.062
12	0.440	0.480	8.949		0.063
13	0.480	0.520	8.624		0.064
14	0.520	0.560	8.345		0.066
15	0.560	0.600	8.164		0.069
16	0.600	0.680	7.866		0.052
17	0.680	0.760	7.201		0.058
18	0.760	0.840	6.849		0.069
19	0.840	0.920	6.401		0.082
20	0.920	1.000	5.954		0.102
21	1.000	1.150	5.288		0.104
22	1.150	1.300	4.591		0.177
23	1.300	1.450	4.246		0.345
24	1.450	1.600	3.755		0.736
