Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	3.937		0.129
2	0.040	0.080	3.797		0.073
3	0.080	0.120	3.723		0.057
4	0.120	0.160	3.763		0.049
5	0.160	0.200	3.597		0.043
6	0.200	0.240	3.577		0.041
7	0.240	0.280	3.375		0.038
8	0.280	0.320	3.295		0.036
9	0.320	0.360	3.074		0.034
10	0.360	0.400	2.881		0.033
11	0.400	0.440	2.681		0.033
12	0.440	0.480	2.529		0.032
13	0.480	0.520	2.336		0.032
14	0.520	0.560	2.204		0.033
15	0.560	0.600	2.122		0.034
16	0.600	0.680	1.998		0.026
17	0.680	0.760	1.794		0.028
18	0.760	0.840	1.647		0.033
19	0.840	0.920	1.587		0.040
20	0.920	1.000	1.460		0.049
21	1.000	1.150	1.192		0.048
22	1.150	1.300	1.020		0.082
23	1.300	1.450	0.994		0.164
24	1.450	1.600	1.113		0.396
