Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	7.561		0.182
2	0.040	0.080	7.151		0.102
3	0.080	0.120	7.058		0.079
4	0.120	0.160	7.106		0.069
5	0.160	0.200	6.975		0.061
6	0.200	0.240	6.819		0.057
7	0.240	0.280	6.627		0.053
8	0.280	0.320	6.467		0.051
9	0.320	0.360	6.212		0.050
10	0.360	0.400	5.960		0.049
11	0.400	0.440	5.728		0.048
12	0.440	0.480	5.399		0.048
13	0.480	0.520	5.209		0.049
14	0.520	0.560	5.029		0.050
15	0.560	0.600	4.924		0.052
16	0.600	0.680	4.792		0.040
17	0.680	0.760	4.625		0.046
18	0.760	0.840	4.529		0.055
19	0.840	0.920	4.447		0.068
20	0.920	1.000	4.282		0.086
21	1.000	1.150	4.129		0.091
22	1.150	1.300	4.447		0.174
23	1.300	1.450	3.951		0.332
24	1.450	1.600	4.172		0.778
