		pure exponential 		exp with a quadratic term
model 		A 	err 	b 	err 	A 	err 	b 	err 	c 	err 
data		24.20	2.00	2.65	0.27	29.05	3.62	4.41	1.04	2.44	1.37
STARlight	62.63	0.13	4.03	0.01	61.86	0.14	3.98	0.02	-0.04	0.04
CCK-hs	27.81	0.33	5.80	0.12	29.05	0.36	6.66	0.17	3.19	0.43
CCK-n	31.27	0.34	10.59	0.14	29.29	0.63	9.10	0.46	-6.15	2.25
MS-hs		30.65	0.15	2.05	0.04	31.68	0.21	2.52	0.08	0.73	0.11
MS-p		36.25	0.22	3.79	0.06	34.55	0.28	2.99	0.12	-2.40	0.36
GSZ-el+diss	16.25	0.22	3.30	0.05	17.09	0.07	3.98	0.04	0.86	0.04
GSZ-el	14.66	0.14	4.80	0.06	14.20	0.05	5.07	0.04	0.45	0.08
