pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	188533	1.249
0.010	0.020	431963	533574	1.235
0.020	0.030	652918	787458	1.206
0.030	0.040	791151	920100	1.163
0.040	0.050	837953	924425	1.103
0.050	0.060	798205	822631	1.031
0.060	0.070	693856	650958	0.938
0.070	0.080	549788	459389	0.836
0.080	0.090	398909	287022	0.720
0.090	0.100	262253	156247	0.596
0.100	0.110	154201	73255	0.475
0.110	0.120	80600	32692	0.406
0.120	0.130	38690	20437	0.528
0.130	0.140	20475	21845	1.067
0.140	0.150	16337	25491	1.560
0.150	0.160	18435	25369	1.376
0.160	0.170	20548	20731	1.009
0.170	0.180	20324	13964	0.687
0.180	0.190	17074	7432	0.435
0.190	0.200	12480	3247	0.260
0.200	0.220	11469	3711	1.000
0.220	0.240	2977	6713	1.000
0.240	0.260	3825	6203	1.000
0.260	0.280	5202	2353	1.000
0.280	0.300	3669	682	1.000
0.300	0.320	1211	1327	1.000
0.320	0.340	447	1536	1.000
0.340	0.360	894	715	1.000
0.360	0.380	1086	188	1.000
0.380	0.400	617	343	1.000
0.400	0.480	815	877	1.000
0.480	0.560	335	341	1.000
0.560	0.640	155	116	1.000
0.640	0.720	68	63	1.000
0.720	0.800	43	18	1.000
0.800	0.880	14	14	1.000
0.880	0.960	8	0	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
