Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	16.355		0.278
2	0.040	0.080	16.338		0.160
3	0.080	0.120	16.180		0.125
4	0.120	0.160	16.286		0.108
5	0.160	0.200	16.206		0.098
6	0.200	0.240	16.158		0.091
7	0.240	0.280	16.267		0.087
8	0.280	0.320	16.168		0.085
9	0.320	0.360	16.266		0.084
10	0.360	0.400	16.285		0.084
11	0.400	0.440	16.514		0.086
12	0.440	0.480	16.489		0.088
13	0.480	0.520	16.607		0.092
14	0.520	0.560	16.412		0.095
15	0.560	0.600	16.502		0.101
16	0.600	0.680	16.742		0.079
17	0.680	0.760	16.667		0.093
18	0.760	0.840	16.707		0.112
19	0.840	0.920	16.874		0.140
20	0.920	1.000	16.755		0.180
21	1.000	1.150	16.927		0.195
22	1.150	1.300	17.179		0.363
23	1.300	1.450	17.710		0.748
24	1.450	1.600	18.637		1.754
