values loaded from the graph:
35	0.0335	0.0345	0.0293
36	0.0345	0.0355	0.0293
37	0.0355	0.0365	0.0291
38	0.0365	0.0375	0.0291
39	0.0375	0.0385	0.0290
40	0.0385	0.0395	0.0286
41	0.0395	0.0405	0.0286
42	0.0405	0.0415	0.0285
43	0.0415	0.0425	0.0284
44	0.0425	0.0435	0.0280
45	0.0435	0.0445	0.0281
46	0.0445	0.0455	0.0280
47	0.0455	0.0465	0.0277
48	0.0465	0.0475	0.0278
49	0.0475	0.0485	0.0275
50	0.0485	0.0495	0.0274
51	0.0495	0.0505	0.0273
52	0.0505	0.0515	0.0271
53	0.0515	0.0525	0.0271
54	0.0525	0.0535	0.0273
55	0.0535	0.0545	0.0270
56	0.0545	0.0555	0.0271
57	0.0555	0.0565	0.0269
58	0.0565	0.0575	0.0265
59	0.0575	0.0585	0.0266
60	0.0585	0.0595	0.0265
61	0.0595	0.0605	0.0265
62	0.0605	0.0615	0.0267
63	0.0615	0.0625	0.0265
64	0.0625	0.0635	0.0264
65	0.0635	0.0645	0.0265
66	0.0645	0.0655	0.0266
67	0.0655	0.0665	0.0266
68	0.0665	0.0675	0.0264
69	0.0675	0.0685	0.0266
70	0.0685	0.0695	0.0266
71	0.0695	0.0705	0.0265
72	0.0705	0.0715	0.0267
73	0.0715	0.0725	0.0263
74	0.0725	0.0735	0.0266
75	0.0735	0.0745	0.0267
76	0.0745	0.0755	0.0268
77	0.0755	0.0765	0.0269
78	0.0765	0.0775	0.0265
79	0.0775	0.0785	0.0264
80	0.0785	0.0795	0.0268
81	0.0795	0.0805	0.0266
82	0.0805	0.0815	0.0265
83	0.0815	0.0825	0.0266
84	0.0825	0.0835	0.0266
85	0.0835	0.0845	0.0266
86	0.0845	0.0855	0.0263
87	0.0855	0.0865	0.0265
88	0.0865	0.0875	0.0263
89	0.0875	0.0885	0.0265
90	0.0885	0.0895	0.0265
91	0.0895	0.0905	0.0266
92	0.0905	0.0915	0.0264
93	0.0915	0.0925	0.0268
94	0.0925	0.0935	0.0264
95	0.0935	0.0945	0.0262
96	0.0945	0.0955	0.0262
97	0.0955	0.0965	0.0259
98	0.0965	0.0975	0.0261
99	0.0975	0.0985	0.0258
100	0.0985	0.0995	0.0262
101	0.0995	0.1005	0.0258
102	0.1005	0.1015	0.0258
103	0.1015	0.1025	0.0254
104	0.1025	0.1035	0.0253
105	0.1035	0.1045	0.0254
106	0.1045	0.1055	0.0256
107	0.1055	0.1065	0.0251
108	0.1065	0.1075	0.0249
109	0.1075	0.1085	0.0249
110	0.1085	0.1095	0.0250
111	0.1095	0.1105	0.0249
112	0.1105	0.1115	0.0246
113	0.1115	0.1125	0.0245
114	0.1125	0.1135	0.0247
115	0.1135	0.1145	0.0241
116	0.1145	0.1155	0.0243
117	0.1155	0.1165	0.0241
118	0.1165	0.1175	0.0240
119	0.1175	0.1185	0.0238
120	0.1185	0.1195	0.0240
121	0.1195	0.1205	0.0238
122	0.1205	0.1215	0.0237
123	0.1215	0.1225	0.0235
124	0.1225	0.1235	0.0235
125	0.1235	0.1245	0.0233
126	0.1245	0.1255	0.0233
127	0.1255	0.1265	0.0232
128	0.1265	0.1275	0.0228
129	0.1275	0.1285	0.0231
130	0.1285	0.1295	0.0229
131	0.1295	0.1305	0.0227
132	0.1305	0.1315	0.0224
133	0.1315	0.1325	0.0225
