cutName nEv_p1	nEv_p3	ratio
CCUP31	117988	122183	0.966
runNum	117988	120741	0.977
ADAofl	117988	120741	0.977
ADCofl	117988	120741	0.977
V0Aofl	117986	120740	0.977
V0Cofl	117979	120736	0.977
SPDmat	116746	119376	0.978
PIDmuo	114771	74909	1.532
rap<.8	114157	74634	1.530
eta<.8	101703	67496	1.507
oppCha	101703	67496	1.507
ms2245	101703	67496	1.507
pT3032	81145	53699	1.511
ms3032	80929	53575	1.511
