pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	188533	1.249
0.010	0.020	431963	533574	1.235
0.020	0.030	652918	787458	1.206
0.030	0.040	791151	920100	1.163
0.040	0.050	837953	924425	1.103
0.050	0.060	798205	822631	1.031
0.060	0.070	693856	650958	0.938
0.070	0.080	549788	459389	0.836
0.080	0.090	398909	287022	0.720
0.090	0.100	262253	156247	0.596
0.100	0.120	234801	105947	0.451
0.120	0.140	59165	42282	0.715
0.140	0.160	34772	50860	1.463
0.160	0.180	40872	34695	0.849
0.180	0.200	29554	10679	1.000
0.200	0.250	16040	13919	1.000
0.250	0.300	11102	5743	1.000
0.300	0.350	2056	3332	1.000
0.350	0.400	2199	777	1.000
0.400	0.500	963	1051	1.000
0.500	0.600	308	254	1.000
0.600	0.800	145	110	1.000
0.800	1.000	22	14	1.000
1.000	1.500	0	0	1.000
1.500	2.000	0	0	1.000
