pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	150003	0.993
0.010	0.020	431963	429058	0.993
0.020	0.030	652918	649556	0.995
0.030	0.040	791151	787436	0.995
0.040	0.050	837953	835020	0.996
0.050	0.060	798205	797078	0.999
0.060	0.070	693856	694912	1.002
0.070	0.080	549788	551636	1.003
0.080	0.090	398909	401256	1.006
0.090	0.100	262253	265638	1.013
0.100	0.120	234801	239434	1.020
0.120	0.140	59165	60681	1.026
0.140	0.160	34772	34280	0.986
0.160	0.180	40872	40637	0.994
0.180	0.200	29554	30023	1.000
0.200	0.250	16040	16497	1.000
0.250	0.300	11102	11102	1.000
0.300	0.350	2056	2095	1.000
0.350	0.400	2199	2214	1.000
0.400	0.500	963	965	1.000
0.500	0.600	308	312	1.000
0.600	0.800	145	145	1.000
0.800	1.000	22	22	1.000
1.000	1.500	0	0	1.000
1.500	2.000	0	0	1.000
