pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	158276	1.048
0.010	0.020	431963	452123	1.047
0.020	0.030	652918	679349	1.040
0.030	0.040	791151	818409	1.034
0.040	0.050	837953	856714	1.022
0.050	0.060	798205	806811	1.011
0.060	0.070	693856	689124	0.993
0.070	0.080	549788	533691	0.971
0.080	0.090	398909	377423	0.946
0.090	0.100	262253	239522	0.913
0.100	0.120	234801	202632	0.863
0.120	0.140	59165	50227	0.849
0.140	0.160	34772	38150	1.097
0.160	0.180	40872	41912	1.025
0.180	0.200	29554	26160	1.000
0.200	0.250	16040	13283	1.000
0.250	0.300	11102	10891	1.000
0.300	0.350	2056	1893	1.000
0.350	0.400	2199	1983	1.000
0.400	0.500	963	939	1.000
0.500	0.600	308	316	1.000
0.600	0.800	145	150	1.000
0.800	1.000	22	22	1.000
1.000	1.500	0	0	1.000
1.500	2.000	0	0	1.000
