pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	170955	1.132
0.010	0.020	431963	486366	1.126
0.020	0.030	652918	725352	1.111
0.030	0.040	791151	862544	1.090
0.040	0.050	837953	888856	1.061
0.050	0.060	798205	816987	1.024
0.060	0.070	693856	675573	0.974
0.070	0.080	549788	503727	0.916
0.080	0.090	398909	339414	0.851
0.090	0.100	262253	202508	0.772
0.100	0.110	154201	105247	0.683
0.110	0.120	80600	48932	0.607
0.120	0.130	38690	24300	0.628
0.130	0.140	20475	18303	0.894
0.140	0.150	16337	20867	1.277
0.150	0.160	18435	23527	1.276
0.160	0.170	20548	22595	1.100
0.170	0.180	20324	18349	0.903
0.180	0.190	17074	12534	0.734
0.190	0.200	12480	6870	0.550
0.200	0.220	11469	4663	0.407
0.220	0.240	2977	4063	1.365
0.240	0.260	3825	6188	1.618
0.260	0.280	5202	4538	0.872
0.280	0.300	3669	1443	0.393
0.300	0.320	1211	578	0.477
0.320	0.340	447	1204	2.694
0.340	0.360	894	1278	1.430
0.360	0.380	1086	564	0.519
0.380	0.400	617	147	0.238
0.400	0.480	815	970	1.190
0.480	0.560	335	353	1.054
0.560	0.640	155	116	0.748
0.640	0.720	68	60	0.882
0.720	0.800	43	17	0.395
0.800	0.880	14	10	0.714
0.880	0.960	8	2	0.250
0.960	1.040	0	0	0.000
1.040	1.120	0	0	0.000
1.120	1.200	0	0	0.000
1.200	1.600	0	0	0.000
1.600	2.000	0	0	0.000
