pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	202435	1.341
0.010	0.020	431963	569744	1.319
0.020	0.030	652918	835165	1.279
0.030	0.040	791151	960493	1.214
0.040	0.050	837953	947968	1.131
0.050	0.060	798205	820160	1.028
0.060	0.070	693856	625841	0.902
0.070	0.080	549788	423413	0.770
0.080	0.090	398909	249683	0.626
0.090	0.100	262253	125025	0.477
0.100	0.120	234801	81079	0.345
0.120	0.140	59165	47387	0.801
0.140	0.160	34772	52153	1.500
0.160	0.180	40872	27494	0.673
0.180	0.200	29554	6471	0.219
0.200	0.250	16040	16170	1.008
0.250	0.300	11102	4058	0.366
0.300	0.350	2056	3147	1.531
0.350	0.400	2199	936	0.426
0.400	0.500	963	878	0.912
0.500	0.600	308	182	0.591
0.600	0.800	145	112	0.772
0.800	1.000	22	6	0.273
1.000	1.500	0	0	0.000
1.500	2.000	0	0	0.000
