pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	154127	1.021
0.010	0.020	431963	440440	1.020
0.020	0.030	652918	664464	1.018
0.030	0.040	791151	802845	1.015
0.040	0.050	837953	845975	1.010
0.050	0.060	798205	802403	1.005
0.060	0.070	693856	691926	0.997
0.070	0.080	549788	542957	0.988
0.080	0.090	398909	389498	0.976
0.090	0.100	262253	252646	0.963
0.100	0.120	234801	220851	0.941
0.120	0.140	59165	54820	0.927
0.140	0.160	34772	36262	1.043
0.160	0.180	40872	41381	1.012
0.180	0.200	29554	28171	0.953
0.200	0.250	16040	14678	0.915
0.250	0.300	11102	11057	0.996
0.300	0.350	2056	1955	0.951
0.350	0.400	2199	2125	0.966
0.400	0.500	963	945	0.981
0.500	0.600	308	306	0.994
0.600	0.800	145	148	1.021
0.800	1.000	22	20	0.909
1.000	1.500	0	0	0.000
1.500	2.000	0	0	0.000
