pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	166760	1.104
0.010	0.020	431963	474751	1.099
0.020	0.030	652918	710147	1.088
0.030	0.040	791151	847984	1.072
0.040	0.050	837953	878031	1.048
0.050	0.060	798205	813978	1.020
0.060	0.070	693856	681307	0.982
0.070	0.080	549788	513929	0.935
0.080	0.090	398909	352151	0.883
0.090	0.100	262253	215089	0.820
0.100	0.110	154201	114547	0.743
0.110	0.120	80600	54427	0.675
0.120	0.130	38690	26247	0.678
0.130	0.140	20475	17975	0.878
0.140	0.150	16337	19586	1.199
0.150	0.160	18435	22662	1.229
0.160	0.170	20548	22597	1.100
0.170	0.180	20324	19139	0.942
0.180	0.190	17074	13644	0.799
0.190	0.200	12480	8028	0.643
0.200	0.220	11469	5641	1.000
0.220	0.240	2977	3482	1.000
0.240	0.260	3825	5844	1.000
0.260	0.280	5202	4932	1.000
0.280	0.300	3669	1857	1.000
0.300	0.320	1211	525	1.000
0.320	0.340	447	1023	1.000
0.340	0.360	894	1329	1.000
0.360	0.380	1086	702	1.000
0.380	0.400	617	177	1.000
0.400	0.480	815	958	1.000
0.480	0.560	335	345	1.000
0.560	0.640	155	111	1.000
0.640	0.720	68	60	1.000
0.720	0.800	43	19	1.000
0.800	0.880	14	10	1.000
0.880	0.960	8	5	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
