pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	158276	1.048
0.010	0.020	431963	452123	1.047
0.020	0.030	652918	679349	1.040
0.030	0.040	791151	818409	1.034
0.040	0.050	837953	856714	1.022
0.050	0.060	798205	806810	1.011
0.060	0.070	693856	689124	0.993
0.070	0.080	549788	533691	0.971
0.080	0.090	398909	377422	0.946
0.090	0.100	262253	239522	0.913
0.100	0.110	154201	135296	0.877
0.110	0.120	80600	67336	0.835
0.120	0.130	38690	31760	0.821
0.130	0.140	20475	18467	0.902
0.140	0.150	16337	17723	1.085
0.150	0.160	18435	20427	1.108
0.160	0.170	20548	21860	1.064
0.170	0.180	20324	20052	0.987
0.180	0.190	17074	15749	0.922
0.190	0.200	12480	10411	0.834
0.200	0.220	11469	8295	1.000
0.220	0.240	2977	2831	1.000
0.240	0.260	3825	4931	1.000
0.260	0.280	5202	5261	1.000
0.280	0.300	3669	2856	1.000
0.300	0.320	1211	698	1.000
0.320	0.340	447	655	1.000
0.340	0.360	894	1148	1.000
0.360	0.380	1086	976	1.000
0.380	0.400	617	399	1.000
0.400	0.480	815	863	1.000
0.480	0.560	335	320	1.000
0.560	0.640	155	130	1.000
0.640	0.720	68	59	1.000
0.720	0.800	43	33	1.000
0.800	0.880	14	14	1.000
0.880	0.960	8	8	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
