pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	179631	1.190
0.010	0.020	431963	509622	1.180
0.020	0.030	652918	756299	1.158
0.030	0.040	791151	891766	1.127
0.040	0.050	837953	907544	1.083
0.050	0.060	798205	819691	1.027
0.060	0.070	693856	665535	0.959
0.070	0.080	549788	482639	0.878
0.080	0.090	398909	312964	0.785
0.090	0.100	262253	178568	0.681
0.100	0.110	154201	88143	0.572
0.110	0.120	80600	39877	0.495
0.120	0.130	38690	21304	0.551
0.130	0.140	20475	19964	0.975
0.140	0.150	16337	23161	1.418
0.150	0.160	18435	24744	1.342
0.160	0.170	20548	22136	1.077
0.170	0.180	20324	16320	0.803
0.180	0.190	17074	9915	0.581
0.190	0.200	12480	4843	0.388
0.200	0.220	11469	3630	1.000
0.220	0.240	2977	5395	1.000
0.240	0.260	3825	6565	1.000
0.260	0.280	5202	3443	1.000
0.280	0.300	3669	837	1.000
0.300	0.320	1211	932	1.000
0.320	0.340	447	1439	1.000
0.340	0.360	894	1052	1.000
0.360	0.380	1086	313	1.000
0.380	0.400	617	179	1.000
0.400	0.480	815	969	1.000
0.480	0.560	335	361	1.000
0.560	0.640	155	120	1.000
0.640	0.720	68	63	1.000
0.720	0.800	43	21	1.000
0.800	0.880	14	11	1.000
0.880	0.960	8	2	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
