pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	154127	1.021
0.010	0.020	431963	440440	1.020
0.020	0.030	652918	664464	1.018
0.030	0.040	791151	802845	1.015
0.040	0.050	837953	845975	1.010
0.050	0.060	798205	802404	1.005
0.060	0.070	693856	691925	0.997
0.070	0.080	549788	542957	0.988
0.080	0.090	398909	389498	0.976
0.090	0.100	262253	252646	0.963
0.100	0.110	154201	146176	0.948
0.110	0.120	80600	74675	0.926
0.120	0.130	38690	35420	0.915
0.130	0.140	20475	19400	0.947
0.140	0.150	16337	16884	1.033
0.150	0.160	18435	19378	1.051
0.160	0.170	20548	21165	1.030
0.170	0.180	20324	20216	1.000
0.180	0.190	17074	16514	1.000
0.190	0.200	12480	11657	1.000
0.200	0.220	11469	10046	1.000
0.220	0.240	2977	2787	1.000
0.240	0.260	3825	4326	1.000
0.260	0.280	5202	5276	1.000
0.280	0.300	3669	3300	1.000
0.300	0.320	1211	984	1.000
0.320	0.340	447	500	1.000
0.340	0.360	894	1003	1.000
0.360	0.380	1086	1084	1.000
0.380	0.400	617	509	1.000
0.400	0.480	815	823	1.000
0.480	0.560	335	333	1.000
0.560	0.640	155	143	1.000
0.640	0.720	68	60	1.000
0.720	0.800	43	40	1.000
0.800	0.880	14	13	1.000
0.880	0.960	8	7	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
