pT_low	pT_upp	nEvOld	nEvNew	ratio
0.000	0.010	151005	184094	1.219
0.010	0.020	431963	521353	1.207
0.020	0.030	652918	771867	1.182
0.030	0.040	791151	905937	1.145
0.040	0.050	837953	916151	1.093
0.050	0.060	798205	821700	1.029
0.060	0.070	693856	658328	0.949
0.070	0.080	549788	471313	0.857
0.080	0.090	398909	299967	0.752
0.090	0.100	262253	167440	0.638
0.100	0.110	154201	80186	0.520
0.110	0.120	80600	36119	0.448
0.120	0.130	38690	20652	0.534
0.130	0.140	20475	20880	1.020
0.140	0.150	16337	24342	1.490
0.150	0.160	18435	25178	1.366
0.160	0.170	20548	21512	1.047
0.170	0.180	20324	15132	1.000
0.180	0.190	17074	8690	1.000
0.190	0.200	12480	3948	1.000
0.200	0.220	11469	3557	1.000
0.220	0.240	2977	6073	1.000
0.240	0.260	3825	6464	1.000
0.260	0.280	5202	2911	1.000
0.280	0.300	3669	692	1.000
0.300	0.320	1211	1130	1.000
0.320	0.340	447	1546	1.000
0.340	0.360	894	866	1.000
0.360	0.380	1086	221	1.000
0.380	0.400	617	271	1.000
0.400	0.480	815	916	1.000
0.480	0.560	335	345	1.000
0.560	0.640	155	120	1.000
0.640	0.720	68	65	1.000
0.720	0.800	43	20	1.000
0.800	0.880	14	12	1.000
0.880	0.960	8	2	1.000
0.960	1.040	0	0	1.000
1.040	1.120	0	0	1.000
1.120	1.200	0	0	1.000
1.200	1.600	0	0	1.000
1.600	2.000	0	0	1.000
