Bin 	PtLow 	PtUpp 	AxE [%%] 	AxE_err [%%] 
1	0.000	0.040	9.966		0.211
2	0.040	0.080	10.290		0.124
3	0.080	0.120	10.076		0.096
4	0.120	0.160	10.082		0.083
5	0.160	0.200	9.778		0.074
6	0.200	0.240	9.852		0.069
7	0.240	0.280	9.581		0.065
8	0.280	0.320	9.418		0.063
9	0.320	0.360	9.276		0.062
10	0.360	0.400	9.020		0.061
11	0.400	0.440	8.907		0.061
12	0.440	0.480	8.691		0.062
13	0.480	0.520	8.393		0.063
14	0.520	0.560	8.089		0.064
15	0.560	0.600	7.922		0.067
16	0.600	0.680	7.638		0.051
17	0.680	0.760	6.982		0.057
18	0.760	0.840	6.654		0.068
19	0.840	0.920	6.215		0.081
20	0.920	1.000	5.778		0.100
21	1.000	1.150	5.132		0.102
22	1.150	1.300	4.414		0.174
23	1.300	1.450	4.085		0.338
24	1.450	1.600	3.616		0.722
